#,Name,Type 1,Type 2,Total,HP
664,Scatterbug,Bug,,200,38
665,Spewpa,Bug,,213,45
666,Vivillon,Bug,Flying,411,80
667,Litleo,Fire,Normal,369,62
668,Pyroar,Fire,Normal,507,86
669,Flabébé,Fairy,,303,44
670,Floette,Fairy,,371,54
671,Florges,Fairy,,552,78
672,Skiddo,Grass,,350,66
673,Gogoat,Grass,,531,123
674,Pancham,Fighting,,348,67
675,Pangoro,Fighting,Dark,495,95
676,Furfrou,Normal,,472,75
677,Espurr,Psychic,,355,62
678,MeowsticMale,Psychic,,466,74
678,MeowsticFemale,Psychic,,466,74
679,Honedge,Steel,Ghost,325,45
680,Doublade,Steel,Ghost,448,59
681,AegislashBlade Forme,Steel,Ghost,520,60
681,AegislashShield Forme,Steel,Ghost,520,60
682,Spritzee,Fairy,,341,78
683,Aromatisse,Fairy,,462,101
684,Swirlix,Fairy,,341,62
685,Slurpuff,Fairy,,480,82
686,Inkay,Dark,Psychic,288,53
687,Malamar,Dark,Psychic,482,86
688,Binacle,Rock,Water,306,42
689,Barbaracle,Rock,Water,500,72
690,Skrelp,Poison,Water,320,50
691,Dragalge,Poison,Dragon,494,65
692,Clauncher,Water,,330,50
693,Clawitzer,Water,,500,71
694,Helioptile,Electric,Normal,289,44
695,Heliolisk,Electric,Normal,481,62
696,Tyrunt,Rock,Dragon,362,58
697,Tyrantrum,Rock,Dragon,521,82
698,Amaura,Rock,Ice,362,77
699,Aurorus,Rock,Ice,521,123
700,Sylveon,Fairy,,525,95
701,Hawlucha,Fighting,Flying,500,78
702,Dedenne,Electric,Fairy,431,67
703,Carbink,Rock,Fairy,500,50
704,Goomy,Dragon,,300,45
705,Sliggoo,Dragon,,452,68
706,Goodra,Dragon,,600,90
707,Klefki,Steel,Fairy,470,57
708,Phantump,Ghost,Grass,309,43
709,Trevenant,Ghost,Grass,474,85
710,PumpkabooAverage Size,Ghost,Grass,335,49
710,PumpkabooSmall Size,Ghost,Grass,335,44
710,PumpkabooLarge Size,Ghost,Grass,335,54
710,PumpkabooSuper Size,Ghost,Grass,335,59
711,GourgeistAverage Size,Ghost,Grass,494,65
711,GourgeistSmall Size,Ghost,Grass,494,55
711,GourgeistLarge Size,Ghost,Grass,494,75
711,GourgeistSuper Size,Ghost,Grass,494,85
712,Bergmite,Ice,,304,55
713,Avalugg,Ice,,514,95
714,Noibat,Flying,Dragon,245,40
715,Noivern,Flying,Dragon,535,85
716,Xerneas,Fairy,,680,126
717,Yveltal,Dark,Flying,680,126
718,Zygarde50% Forme,Dragon,Ground,600,108
719,Diancie,Rock,Fairy,600,50
719,DiancieMega Diancie,Rock,Fairy,700,50
720,HoopaHoopa Confined,Psychic,Ghost,600,80
720,HoopaHoopa Unbound,Psychic,Dark,680,80
721,Volcanion,Fire,Water,600,80
